English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
Or visit <URL>	Oder besuchen Sie <URL>	Ou cliquez sur ce lien <URL>	O visita <URL>	Tai mene osoitteeseen <URL>	Of bezoek <URL>	Lub odwiedź <URL>.	Eller gå til <URL>	또는 <URL>을 방문하세요.	eller besök <URL>	または<URL>をご覧ください。	O visite <URL>
Feed rate too slow!	Vorschub zu niedrig!	La vitesse d’avance est trop faible !	Avanzamento troppo lento!	Liian matala syöttönopeus!	Aanzet te langzaam!	Zbyt niska prędkość posuwu!	Fremføringshastigheden er for langsom!	이송 속도가 너무 느립니다!	Matningshastigheten är för låg!	送り速度が遅すぎる!	Velocidad de avance demasiado lenta
YetiPilot has tried to reduce the feed rate to less than 10% of the feed rate in the job file.	YetiPilot hat versucht den Verschub auf weniger als 10% des angegebenen Werts zu verringern.	YetiPilot a tenté de réduire la vitesse d’avance à moins de 10% de la vitesse d’avance initiale de ce fichier.	YetiPilot ha cercato di ridurre l'avanzamento a meno del 10% dell'avanzamento del file di lavorazione.	YetiPilot on yrittänyt vähentää syöttönopeutta alle 10%:iin työtiedostossa olevasta syöttönopeudesta.	YetiPilot heeft geprobeerd de aanvoersnelheid te verlagen tot minder dan 10% van de aanvoersnelheid in het jobbestand.	YetiPilot próbował zredukować prędkość posuwu do wartości wynoszącej mniej niż 10% wartości posuwu z programu.	YetiPilot har forsøgt at reducere fremføringshastigheden til mindre end 10 % af fremføringshastigheden i jobfilen.	예티파일럿이 이송 속도를 작업 파일 이송 속도의 10% 미만으로 줄이려고 시도했습니다.	YetiPilot har försökt att minska matningshastigheten till mindre än 10% av matningshastigheten i jobb filen.	YetiPilotは、送り速度をジョブファイルの送り速度の10%未満に下げようとしました。	YetiPilot ha intentado reducir la velocidad de avance a menos del 10% de la velocidad de avance en el archivo de trabajo.
This may be because the chosen feed rate in the job file was set too high, or because of a problem with the cut which means the Spindle motor's target power cannot be reached.	Vermutlich ist der Vorschub in der Fräsdatei zu hoch eingestellt oder es gab ein Problem beim Fräsen so dass die gewünschte Motor-Leistung nicht eingestellt werden konnte.	C’est probablement car la vitesse d’avance initialement paramétrée était trop haute, ou bien à cause d’un problème lors de l’usinage causant l’impossibilité d’atteindre la puissance maximale de la broche.	Questo potrebbe essere causato da un avanzamento troppo alto nel file di lavorazione o da un problema di taglio che impedisce il raggiungimento della potenza target del mandrino.	Tämä voi johtua siitä että työtiedoston syöttönopeus on asetettu liian korkeaksi, tai työstössä on ongelma jonka vuoksi karan moottori ei saavuta tavoitetehoa.	Dit kan komen doordat de gekozen aanzet in het jobbestand te hoog was ingesteld, of door een probleem met de snede waardoor het doelvermogen van de spindelmotor niet kan worden bereikt.	Może to być spowodowane tym, że została wprowadzona zbyt wysoka prędkość posuwu, lub występuje problemem z innym parametrem obróbki, który powoduje, że docelowa moc wrzeciona nie może zostać osiągnięta.	Dette kan skyldes, at den valgte tilspændingshastighed I jobfilen blev indstillet for højt, eller på grund af et problem med skæringen, hvilket betyder, at spindelmotorens målsatte hastighed ikke kan opnås.	이는 작업 파일에서 선택한 이송 속도가 너무 높게 설정되었거나 절삭에 문제가 있어 스핀들 모터의 목표 출력에 도달할 수 없기 때문일 수 있습니다.	Detta kan bero på att vald matningshastighet i filen är för högt satt, eller kan det bero på ett problem med själva fräsningen som gör att fräsmotorn inte kan nå optimal styrka.	これは、ジョブファイルで選択された送り速度が高すぎるか、切削に問題がありスピンドルモーターの目標出力に到達できないことが原因であると思われます。	Esto puede deberse a que la velocidad de avance elegida en el archivo de trabajo se estableció demasiado alta, o debido a un problema con el corte que significa que no se puede alcanzar la potencia objetivo del motor del cabezal.
We recommend that you cancel the job and correct the issue.	Wir empfehlen, den Auftrag abzubrechen und das Problem zu beheben.	Nous vous recommandons d’annuler le projet en cours et de corriger le problème.	Raccomandiamo di cancellare il lavoro e correggere il problema.	Suosittelemme että peruutat työn ja korjaat ongelman.	Wij raden u aan de opdracht te annuleren en het probleem te corrigeren.	Zalecamy anulowanie zadania i skorygowanie problemu.	Vi anbefaler, at du annullerer jobbet og løser problemet.	작업을 취소하고 문제를 해결하는 것이 좋습니다.	Vi rekommenderar att du avslutar jobbet och åtgärdar felet.	ジョブをキャンセルして、問題を修正することをお勧めします。	Le recomendamos que cancele el trabajo y corrija el problema.
Or, you may resume the job with YetiPilot initially disabled.	Oder Sie können den Auftrag wiederaufnehmen mit deaktiviertem YetiPilot.	Ou bien, reprenez le projet en cours avec YetiPilot qui était initialement désactivé.	O puoi riprendere il lavoro con YetiPilot inizialmente disabilitato.	Tai, voitte jatkaa työstöä niin että YetiPilot on aluksi pois käytöstä.	U kunt de opdracht ook hervatten terwijl YetiPilot in eerste instantie is uitgeschakeld.	Możesz też wznowić pracę z wyłączonym YetiPilot.	Eller du kan genoptage jobbet med YetiPilot midlertidigt deaktiveret.	또는 예티파일럿을 처음에 비활성화한 상태에서 작업을 다시 시작할 수 있습니다.	Eller kan du fortsätta med jobbet med YetiPilot i avstängt läge i början.	または、YetiPilotを初期状態で無効にしてジョブを再開することもできます。	O bien, puede reanudar el trabajo con YetiPilot desactivado inicialmente.
If you choose to resume, SmartBench may struggle.	Wenn Sie "wiederaufnehmen" wählen, kann es zu Problemen kommen.	Si vous décidez de reprendre le projet en cours, votre Smartbench pourrait rencontrer des difficultés à effectuer correctement le fichier.	Se scegli di riprendere SmartBench potrebbe avere difficoltà.	Jos päätätte jatkaa, Smartbench saattaa joutua ponnistelemaan.	Als u kiest voor hervatten, kan SmartBench tegenstribbelen.	Jeśli wybierzesz wznowienie, SmartBench będzie pracować z większym obciążeniem niż optymalne.	Hvid du vælger at genoptage, kan SmartBench muligvis få problemer.	작업을 다시 시작하면 SmartBench가 어려움을 겪을 수 있습니다.	Om du väljer fortsätt arbetet, SmartBench kan då får problem.	再開する場合、SmartBenchは苦戦する可能性があります。	Si elige reanudar, SmartBench puede tener problemas.
Can't read spindle data!	Motordaten können nicht gelesen werden.	Impossible de lire les données de la broche !	Impossibile leggere i dati del mandrino.	Karan tietoja ei voida lukea!	Kan geen spindelgegevens lezen!	Nie można odczytać danych wrzeciona!	Kan ikke læse spindel-data	스핀들 데이터를 읽을 수 없습니다!	Kan inte läsa fräsmotorns data	スピンドルデータが読めません!	No se pueden leer los datos del cabezal
Cannot read the data from the SC2 Spindle motor, which is needed to measure the load.	Daten vom SC2 Motor können nicht gelesen werden, werden aber zur Lastmessung benötigt.	Impossible de lire les données de la broche SC2. Ces données sont nécessaires pour mesurer la charge de la broche.	Impossibile leggere i dati del mandrino SC2 necessari a misurare il carico.	SC2 karamoottorista ei voida lukea tarvittavia tietoja kuorman mittaamiseen.	Kan de gegevens van de SC2-spilmotor niet lezen, die nodig zijn om de belasting te meten.	Nie można odczytać danych z wrzeciona SC2, które są potrzebne do pomiaru obciążenia.	Kan ikke læse dataen fra SC2-spindelmotoren, som er nødvendig for at kunne måle belastningen.	부하를 측정하는 데 필요한 SC2 스핀들 모터에서 데이터를 읽을 수 없습니다.	Kan inte läsa data från SC2 fräsmotor, som är nödvändigt för att mäta belastningen.	負荷の測定に必要なSC2スピンドルモータからのデータを読み込むことができません。	No se pueden leer los datos del motor del husillo SC2, necesarios para medir la carga.
Please check that you are using your SC2 Spindle motor, and check that your data cable is connected.	Bitte prüfen Sie, dass Sie den SC2 Motor verwenden und das Datenkabel angeschlossen ist.	Veuillez-vous assurer que vous utilisez bien une broche SC2 et vérifier que le cable de données et bien connecté.	Per favore controlla di usare un mandrino SC2 e controlla che il cavo dei dati sia collegato.	Tarkistakaa että teillä on SC2 karamoottori käytössä ja että datakaapeli on yhdistetty.	Controleer of u uw SC2 Spindle motor gebruikt, en controleer of uw datakabel is aangesloten.	Upewnij się, czy używasz wrzeciona SC2 oraz sprawdź, czy przewód sygnałowy jest prawidłowo podłączony.	Kontroller venligst, at du bruger din SC2-spindelmotor samt at dit datakabel er tilsluttet.	SC2 스핀들 모터를 사용하고 있는지 확인하고 데이터 케이블이 연결되어 있는지 확인하십시오.	Vänligen kontrollera att du använder din SC2 fräsmotor, och kontrollera att datakabeln är ansluten.	SC2スピンドルモーターを使用しているか、データケーブルが接続されているか確認してください。	Por favor, compruebe que está utilizando su motor SC2 Spindle, y compruebe que su cable de datos está conectado.
You may resume the job with YetiPilot disabled, or cancel the job altogether.	Sie können den Auftrag mit deaktiviertem YetiPilot wieder aufnehmen oder den kompletten Auftrag abbrechen.	Vous pouvez reprendre le projet en cours avec YetiPilot desactivé ou annuler complétement le projet.	Puoi riprendere il lavoro con YetiPilot disabilitato o annullare il lavoro del tutto.	Voit jatkaa työstöä YetiPilot pois päältä, tai voitte peruuttaa työn kokonaan.	U kunt de taak hervatten met de YetiPilot uitgeschakeld, of de taak helemaal annuleren.	Możesz wznowić program z wyłączonym YetiPilot lub całkowicie anulować zadanie.	Du kan genoptage jobbet med YetiPilot dektiveret eller annullere jobbet helt.	YetiPilot을 비활성화한 상태에서 작업을 다시 시작하거나 작업을 완전히 취소할 수 있습니다.	Du kan fortsätta jobbet med YetiPilot avstängt, eller avsluta hela jobbet.	YetiPilotを無効にした状態でJobを再開するか、Jobをキャンセルしてください。	Puede reanudar el trabajo con YetiPilot desactivado, o cancelar el trabajo por completo.
This file exceeds 10 million lines.	Die Fräsdatei hat mehr als 10 Millionen Zeilen.	Ce fichier dépasse 10 milliards de lignes	Questo file supera i 10 milioni di linee.	Tämä tiedosto on yli 10 miljoonaa riviä.	Dit bestand bevat meer dan 10 miljoen regels.	Ten plik przekracza 10 milionów linii.	Denne fil overstiger 10 millioner linjer	이 파일은 1,000만 줄을 초과합니다.	Denna filen överstiger 10 miljoner rader.	このファイルは1,000万行を超えています。	Este archivo supera los 10 millones de líneas.
Please split up or reduce the file length before attempting to reload it.	Bitte teilen Sie die Datei auf oder reduzieren Sie die Größe bevor Sie sie erneut laden.	Veuillez diviser votre fichier en plusieurs parties ou réduire sa longueur avant d’essayer de le recharger.	Per favore dividi il file o riduci la sua lunghezza prima di provare a ricaricarlo.	Ole hyvä ja jaa työ pienempiin osiin tai pienennä tiedoston pituutta ennen kuin yrität ladata sen uudelleen.	Splits het bestand op of verklein het voordat u het opnieuw probeert te laden.	Podziel program na mniejsze podprogramy lub usuń puste linie przed próbą jego ponownego wczytania.	Del filen op eller reducer dens længde før du forsøger at genindlæse den	다시 로드하기 전에 파일 길이를 분할하거나 줄이세요.	Var vänlig och dela upp eller minska ner längden innan du försöker starta om filen.	再読み込みする前に、ファイルを分割するか、ファイル長を減らしてください。	Por favor, divide o reduce la longitud del archivo antes de intentar recargarlo.
Pressing cancel will cancel the job.	Wenn Sie auf Abbrechen drücken, wird der Auftrag abgebrochen.	En appuyant sur annuler, vous annulez le travail.	Premendo cancel si annulla il lavoro.	Peruutuksen painaminen peruuttaa työn.	Als u op Annuleren drukt, wordt de opdracht geannuleerd.	Naciśnięcie przycisku "Anuluj" spowoduje anulowanie zadania.	Hvis du trykker på Annuller, annulleres jobbet.	취소를 누르면 작업이 취소됩니다.	Om du trycker på avbryta avbryts jobbet.	キャンセルを押すとジョブがキャンセルされます。	Si se pulsa cancelar, se cancelará el trabajo.
Or, you may resume	Oder Sie können den Auftrag wiederaufnehmen	Ou bien, reprenez le projet en cours	O puoi riprendere il lavoro	Tai, voitte jatkaa	Of u kunt hervatten	Lub możesz też wznowić zadanie.	Eller du kan genoptage jobbet	또는 재개할 수 있습니다.	Eller kan du fortsätta med jobbet med YetiPilot i avstängt läge i början.	または再開してください	O puede reanudar
Profile	Profil	profil	Profilo	Profiili	Profiel	Profil	Profil	프로필	Profil	プロフィール	Perfil
YetiPilot Settings	YetiPilot Einstellungen	réglages de YetiPilot	Impostazioni YetiPilot	YetiPilotin asetukset	YetiPilot instellingen	Ustawienia YetiPilot	YetiPilot indstillinger	예티파일럿 설정	YetiPilot inställningar	YetiPilotの設定	Configuración de YetiPilot
Close	Schliessen	fermer	Chiudere	Sulje	Sluit	Zamknij	Luk	닫기	Stäng	閉じる	Cerrar
Auto adjust feed rate to optimise Spindle motor load	Automatische Vorschubanpassung für die optimale Spindelauslastung	Ajuster automatiquement la vitesse d’avance pour optimiser la charge de la broche	Regolazione automatica dell'avanzamento per ottimizzare il carico del motore del mandrino	Automaattinen syöttönopeuden säätö karamoottorin kuormituksen optimoimiseksi	Aanzet automatisch aanpassen om de belasting van de spindelmotor te optimaliseren	Automatyczna regulacja prędkości posuwu w celu optymalizacji obciążenia wrzeciona	Juster automatisk fremføringshastigheden for at optimere spindelmotorbelastningen.	스핀들 모터 부하 최적화를 위한 이송 속도 자동 조정	Automatisk justering av matningshastigheten för att optimera fräsmotorns belastning	スピンドルモーターの負荷を最適化する送り速度自動調整機能	Ajuste automático de la velocidad de avance para optimizar la carga del motor del husillo
Pre-set profiles	Vordefinierte Profile	Profils pré-définis	Profili preimpostati	Esiasetetut profiilit	Vooraf ingestelde profielen	Wstępnie ustawiony profil	Forudindstillede profiler	사전 설정된 프로파일	Förinställda profiler	プリセットプロファイル	Perfiles preestablecidos
Tool diameter	Werkzeugdurchmesser	diamètre d’outil	Diametro utensile	Työkalun halkaisija	Gereedschapsdiameter	Średnica narzędzia	Værktøjets diameter	공구 직경	Verktygsdiameter	工具径	Diámetro de herramienta
Tool type	Werkzeugtyp	type d’outil	Tipo di utensile	Työkalun tyyppi	Type gereedschap	Typ narzędzia	Værktøjstype	공구 유형	Verktygstyp	工具の種類	Tipo de herramienta
Material	Material	matériau	Materiale	Materiaali	Materiaal	Materiał	Materiale	재료	Material	材料	Material
Recommended step downs based on these profile settings:	Empfohlene Zustellung, basierend auf diesen Profileinstellungen:	profondeur de passe recommandée pour les réglages de ce profil	Gli step down consigliati si basano su queste impostazioni di profilo:	Suositellut alasajot, jotka perustuvat näihin profiiliasetuksiin:	Aanbevolen verslechteringen gebaseerd op deze profielinstellingen:	Zalecana głębokość zagłębiania na podstawie ustawień tego profilu:	Anbefalede nedjusteringer baseret på disse profilindstillinger:	이러한 프로파일 설정에 따른 권장 스텝다운:	Rekommenderat fräsdjup baserat dessa profilinställningar	このプロファイル設定に基づく推奨ステップダウン量です。	Reducciones recomendadas basadas en estos ajustes de perfil:
Exceeding this range may produce unexpected results.	Diesen Bereich zu überschreiten, kann zu unerwarteten Ergebnissen führen.	Aller au-delà de cette plage peut causer des résultats innatendus	Il superamento di questo intervallo può produrre risultati imprevisti.	Tämän alueen ylittäminen voi tuottaa odottamattomia tuloksia.	Het overschrijden van dit bereik kan onverwachte resultaten opleveren.	Przekroczenie tego zakresu może przynieść nieoczekiwane rezultaty.	Overskridelse af dette interval kan give uventede resultater.	이 범위를 초과하면 예기치 않은 결과가 발생할 수 있습니다.	Att överstiga dessa mått kan orsaka oförutsedda resultat	この範囲を超えると、予期せぬ結果をもたらす可能性があります。	Exceder este rango puede producir resultados inesperados.
2 flute upcut spiral	2-schneidige rechtsdrall Spirale	Fraise hélicoïdale 2 dents positive	Spirale a 2 eliche per taglio ascendente	Spiraalijyrsinterä Ylös leikkaava Z2	spiraal met 2 spiralen	Frez spiralny 2-piórowy typu pozytyw	2 skær positiv spiral sletfræser	2 플루트 업컷 나선형	2 skäriga positiv spiralfräsar	2枚刃アップカットスパイラル	Espiral ascendente de 2 canales
2 flute downcut spiral	2-Schneiden Linksdrall Spirale	Fraise hélicoïdale négative 2 dents	Spirale a 2 eliche con tagliente negativo	2-leikkuinen alaspäin leikkaava spiraali	2 spleten spiraal naar beneden	Frez spiralny 2-piórowy typu negatyw	2 skær negativ spiral sletfræser	2 플루트 다운컷 나선형	2 skäriga negativa spiralfräsar	2枚刃ダウンカットスパイラル	Espiral descendente de 2 canales
Create your own custom Spindle motor load profile	Erstellen Sie Ihr persönliches Motorlastprofil	Créer votre profil de charge de broche personnalisé.	Creare un profilo di carico del motore del mandrino personalizzato	Luo oma mukautettu karamoottorin kuormitusprofiili	Maak uw eigen aangepaste spindelmotorbelastingsprofiel	Stwórz swój własny profil obciążenia wrzeciona	Skab din egen tilpassede profil for spindelmotorbelastning	나만의 맞춤형 스핀들 모터 부하 프로파일 생성	Skapa din egen motorbelastningsfil	独自のスピンドルモーター負荷プロファイルを作成	Cree su propio perfil personalizado de carga del motor del husillo
Advanced profile	Erweitertes Profil	Profil avancé	Profilo avanzato	Edistynyt profiili	Geavanceerd profiel	Profil zaawansowany	Avanceret profil	고급 프로파일	Avancerade profiler	アドバンストプロファイル	Perfil avanzado
Target Spindle motor load	Ziel-Motorlast	Charge de broche cible.	Carico motore mandrino target	Karamoottorin tavoitekuormitus	Doelbelasting spindelmotor	Docelowe obciążenie wrzeciona	Målsæt spindelmotorbelastning	목표 스핀들 모터 부하	Frässpindelns belastningsmålvärde	目標主軸電動機負荷	Carga del motor del cabezal objetivo
Safety Information: PrecisionPro +	Sicherheitshinweise: PrecisionPro +	Informations relatives à la sécurité : PrecisionPro +	Informazioni sulla sicurezza: PrecisionPro +	Turvallisuustiedot: PrecisionPro +	Veiligheidsinformatie: PrecisionPro +	Informacje dotyczące bezpieczeństwa: PrecisionPro +.	Sikkerhedsinformation: PrecisionPro +	안전 정보: PrecisionPro +	Säkerhetsinformation: PrecisionPro +	安全に関する情報です： プレシジョンプロ＋（プラス	Información de seguridad: PrecisionPro +
PrecisionPro + reads data from the smart SC2 Spindle motor.	PrecisionPro + liest Daten aus dem intelligenten SC2-Spindelmotor.	PrecisionPro + lit les données de la broche SC2	PrecisionPro + legge i dati dal motore del mandrino intelligente SC2.	PrecisionPro + lukee tietoja älykkäästä SC2-karamoottorista.	PrecisionPro + leest gegevens van de slimme SC2-spilmotor.	PrecisionPro+ wczytuje dane z inteligentnego wrzeciona SC2.	PrecisionPro + læser data fra smart SC2 spindelmotoren.	PrecisionPro +는 스마트 SC2 스핀들 모터에서 데이터를 읽습니다.	PrecisionPro + läser data från den smarta SC2-spindelmotorn.	PrecisionPro +は、スマートSC2スピンドルモーターからデータを読み取ります。	PrecisionPro + lee los datos del motor del husillo SC2 inteligente.
You can disable and enable PrecisionPro + features at any time in the maintenance app.	Sie können die PrecisionPro +-Funktionen jederzeit in der Wartungs-App deaktivieren und aktivieren.	Vous pouvez désactiver et activer les fonctions de PrecisionPro + à tout moment dans l'application de maintenance.	È possibile disattivare e attivare le funzioni di PrecisionPro + in qualsiasi momento nell'app di manutenzione.	Voit poistaa PrecisionPro + -ominaisuudet käytöstä ja ottaa ne käyttöön milloin tahansa ylläpitosovelluksessa.	U kunt PrecisionPro + functies op elk moment in de onderhoudsapp in- en uitschakelen.	Możesz wyłączyć i włączyć funkcje PrecisionPro+ w dowolnym momencie w aplikacji Konserwacja.	Du kan deaktivere og aktivere PrecisionPro + funktioner når som helst i veligeholdelsesappen.	유지보수 앱에서 언제든지 PrecisionPro + 기능을 비활성화 및 활성화할 수 있습니다.	Du kan inaktivera och aktivera PrecisionPro +-funktionerna när som helst i underhållsappen.	PrecisionPro +の機能は、メンテナンスアプリでいつでも無効化および有効化できます。	Puede desactivar y activar PrecisionPro + características en cualquier momento en la aplicación de mantenimiento.
In order to read and analyse the data, SmartBench must be able to turn the Spindle motor on safely.	Um die Daten lesen und analysieren zu können, muss SmartBench in der Lage sein, den Spindelmotor sicher einzuschalten.	Afin de lire et d'analyser les données, votre Smartbench doit pouvoir mettre la broche en marche en toute sécurité.	Per leggere e analizzare i dati, SmartBench deve essere in grado di accendere il motore del mandrino in modo sicuro.	Jotta tietoja voidaan lukea ja analysoida, SmartBenchin on voitava kytkeä karamoottori turvallisesti päälle.	Om de gegevens te kunnen lezen en analyseren, moet SmartBench de Spindelmotor veilig kunnen inschakelen.	Aby odczytać i przeanalizować dane, SmartBench musi mieć możliwość bezpiecznie włączyć wrzeciono.	For at kunne aflæse og analysere dataene skal SmartBench kunne tænde sikkert for spindelmotoren.	데이터를 읽고 분석하려면 SmartBench가 스핀들 모터를 안전하게 켤 수 있어야 합니다.	För att kunna läsa och analysera data måste SmartBench kunna slå på spindelmotorn på ett säkert sätt.	データを読み込んで分析するためには、SmartBenchがスピンドルモーターを安全にオンにすることができなければなりません。	Con el fin de leer y analizar los datos, SmartBench debe ser capaz de encender el motor Spindle de forma segura.
SmartBench must be able to turn the Spindle motor on safely	muss SmartBench in der Lage sein, den Spindelmotor sicher einzuschalten	votre Smartbench doit pouvoir mettre la broche en marche en toute sécurité	SmartBench deve essere in grado di accendere il motore del mandrino in modo sicuro.	SmartBenchin on voitava kytkeä karamoottori turvallisesti päälle.	SmartBench moet de spindelmotor veilig kunnen inschakelen.	SmartBench musi mieć możliwość bezpiecznie włączyć wrzeciono.	skal SmartBench kunne tænde sikkert for spindelmotoren	SmartBench가 스핀들 모터를 안전하게 켤 수 있어야 합니다.	SmartBench måste kunna sätta igång spindelmotorn på ett säkert sätt.	SmartBenchは、スピンドルモーターを安全にオンにできる必要があります。	SmartBench debe poder encender el motor del husillo de forma segura.
YetiPilot is disabled	YetiPilot ist deaktiviert	YetiPilot est désactivé	YetiPilot è disattivato	YetiPilot on poistettu käytöstä	YetiPilot is uitgeschakeld	YetiPilot jest wyłączony	YetiPilot er deaktiveret	YetiPilot이 비활성화됨	YetiPilot är inaktiverad.	YetiPilotは無効です	YetiPilot está desactivado
Enable Spindle motor health check in the Maintenance app to change this.	Aktivieren Sie die Eigendiagnose des Spindelmotors in der Wartungs-App, um dies zu ändern.	Activez le contrôle de fonctionnement de la broche dans l'application Maintenance pour effectuer cette modification.	Abilitare il controllo dello stato del mandrino nell'app Manutenzione per cambiare questo.	Ota käyttöön Karamoottorin kuntotarkastus - huoltosovelluksessa, jos haluat muuttaa tämän.	Schakel de Spindle motor health check in de Maintenance app in om dit te veranderen.	Aby to zmienić, włącz sprawdzanie stanu wrzeciona w aplikacji Konserwacja.	Aktiver spindelmotorens sundhedstjek i vedligeholdelsesappen for at ændre dette.	이를 변경하려면 유지보수 앱에서 스핀들 모터 상태 확인을 활성화 하십시오.	Aktivera hälsokontroll av spindelmotorn i underhållsappen för att ändra detta.	メンテナンスアプリでSpindle motor health checkを有効にすると変更できます。	Active la comprobación del estado del motor del rotor en la aplicación Mantenimiento para cambiar esto.
Spindle motor health check failed.	Eigendiagnose des Spindelmotors fehlgeschlagen.	Le contrôle de fonctionnement de la broche a échoué.	Controllo dello stato del mandrino fallito.	Karamoottorin kuntotarkastus epäonnistui.	Gezondheidscontrole spindelmotor mislukt.	Kontrola stanu wrzeciona nie powiodła się.	Spindelmotorens sundhedstjek mislykkedes.	스핀들 모터 상태 점검에 실패했습니다.	Hälsokontrollen av spindelmotorn misslyckades.	スピンドルモーターのヘルスチェックに失敗しました。	Fallo en la comprobación del estado del motor del cabezal.
Re-run before job start to enable YetiPilot.	Führen Sie die Prüfung vor dem Auftragsstart erneut durch, um YetiPilot zu aktivieren.	Recommencer cette opération avant le lancement de l'usinage pour activer YetiPilot.	Eseguirlo nuovamente prima dell'avvio del lavoro per abilitare YetiPilot.	Suorita uudelleen ennen työn aloittamista ottaaksesi YetiPilotin käyttöön.	Voer opnieuw uit voordat de job start om YetiPilot in te schakelen.	Aby włączyć YetiPilot, ponownie uruchom kontrolę przed rozpoczęciem zadania.	Kør igen før jobstart for at aktivere YetiPilot.	작업을 시작하기 전에 예티파일럿을 다시 실행하여 활성화 하십시오.	Kör på nytt före jobbstart för att aktivera YetiPilot.	ジョブ開始前に再実行し、YetiPilotを有効にしてください。	Vuelva a ejecutar antes de iniciar el trabajo para habilitar YetiPilot.
Cancel and restart the job to try again.	Brechen Sie den Auftrag ab und starten Sie ihn neu, um es erneut zu versuchen.	Annulez et redémarrez le projet pour réessayer.	Annullare e riavviare il lavoro per riprovare.	Peruuta ja käynnistä työ uudelleen yrittääksesi uudelleen.	Annuleer en herstart de job om het opnieuw te proberen.	Aby spróbować ponownie, anuluj a następnie uruchom zadanie.	Annuller og genstart jobbet for at prøve igen.	작업을 취소하고 다시 시작하여 다시 시도하십시오.	Avbryt och starta om jobbet för att försöka igen.	ジョブをキャンセルし、再スタートして再試行します。	Cancele y reinicie el trabajo para intentarlo de nuevo.
Running Spindle motor health check…	Spindel-Eigendiagnose läuft...	Vérification de l'état de la broche en cours...	Esecuzione controllo stato del mandrino...	Suoritetaan karamoottorin kuntotarkastus	Spindelmotor gezondheidscontrole wordt uitgevoerd...	Uruchomienie kontroli stanu wrzeciona...	Kører sundhedstjek af spindelmotor...	스핀들 모터 상태 점검 실행 중...	Kör hälsokontroll av spindelmotor...	スピンドルモーターのヘルスチェックを実行中...	Ejecutando la comprobación del estado del motor...
Spindle motor health check	Eigendiagnose der Spindel	Contrôle de fonctionnement de la broche	Controllo stato motore mandrino	Karamoottorin kuntotarkastus	Spindelmotor gezondheidscontrole	Kontrola stanu wrzeciona nie powiodła się.	Sundhedstjek af spindelmotoren	스핀들 모터 상태 점검	Kontroll av spindelmotorns hälsa	スピンドルモーターのヘルスチェック	Comprobación del estado del motor del husillo
Disable this if your tool is not rated to at least 24,000 rpm.	Deaktivieren Sie diese Funktion, wenn Ihr Werkzeug nicht für mindestens 24.000 U/min ausgelegt ist.	Désactivez cette fonction si votre broche n'a pas une vitesse de rotation d'au moins 24.000 tr/min.	Disattivare questa funzione se l'utensile non ha una velocità nominale di almeno 24.000 giri/min.	Ota tämä pois käytöstä, jos työkalusi ei ole mitoitettu vähintään 24 000 rpm:lle.	Schakel dit uit als uw gereedschap niet minstens 24.000 tpm haalt.	Wyłącz tę opcję, jeśli narzędzie nie jest ustawione na co najmniej 24 000 obr/min.	Deaktiver dette, hvis dit værktøj ikke er klassificeret til en hastighed på mindst 24.000 omdrejninger pr. minut.	공구의 정격이 24,000rpm 이상이 아닌 경우 이 옵션을 비활성화 합니다.	Inaktivera den här funktionen om ditt verktyg inte är dimensionerat för minst 24 000 varv per minut.	工具の定格回転数が24,000rpm以上でない場合は、この機能を無効にします。	Deshabilite esta opción si su herramienta no tiene una velocidad nominal de al menos 24.000 rpm.
The health check will run the spindle at 24,000 rpm for 6 seconds before every job.	Die Eigendiagnose lässt die Spindel vor jedem Auftrag 6 Sekunden lang mit 24.000 U/min laufen.	Le contrôle de fonctionnement de la broche la fait tourner à 24 000 tr/min pendant 6 secondes avant chaque usinage.	Il controllo dello stato del mandrino fa girare il mandrino a 24.000 giri/min per 6 secondi prima di ogni lavoro.	Terveystarkastus ajaa karaa 24 000 rpm:n kierrosluvulla 6 sekunnin ajan ennen jokaista työtä.	De gezondheidscontrole laat de spindel vóór elke opdracht gedurende 6 seconden op 24.000 tpm draaien.	Kontrola stanu wrzeciona uruchomi wrzeciono przed każdym zadaniem z prędkością 24 000 obr/min przez 6 sekund.	Sundhedstjekket vil køre spindlen ved 24.000 omdrejninger pr. minut i 6 sekunder før hvert job.	상태 점검은 매 작업 전에 스핀들을 24,000rpm으로 5초 동안 실행합니다.	Hälsokontrollen kör spindeln vid 24 000 varv per minut i 5 sekunder före varje jobb.	ヘルスチェックは、各ジョブの前に 24,000 rpm で 5 秒間スピンドルを動作させます。	La comprobación del estado del motor del cabezal funcionará a 24.000 rpm durante 5 segundos antes de cada trabajo.
